smiles,Bioactivity
N\C(Nc1ccc(Cl)cc1)=N/C(N)=NCCCCCCN=C(N)\N=C(/N)Nc1ccc(Cl)cc1,0
CC(=O)Oc1ccc(cc1)C1(C(=O)N(C(C)=O)c2ccccc12)c1ccc(OC(C)=O)cc1,1
O(CCN(C)C)c1ccc(cc1)/C(=C(\CC)/c1ccccc1)/c1cc(O)ccc1,1
O1C(CN=C1N)c1ccccc1,0
Clc1ccc([C@@H](CC(=O)O)CN)cc1,1
S1(=O)(=O)N[C@@H](Nc2c1cc(S(=O)(=O)N)c(c2)C(F)(F)F)Cc1ccccc1,1
CCCNC1CCc2nc(N)sc2C1,0
O(CC)c1cc(ccc1OCC)\C=C/1\NCCc2cc(OCC)c(OCC)cc\12,0
CC12CCC(O)CC1CCC1C2CCC2(C)C(c3ccc(=O)oc3)CCC12O,0
[H]C=1C([H])=C([H])C3=C(C=1([H]))C(C=2C([H])=C(C([H])=C([H])C=2S3)Cl)=C([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H],1
CC1CCCC(N1C)C(=O)N(C)c1ccccc1C,0
C[C@H]1CC(=O)C=C([C@]21C(=O)c1c(O2)c(c(cc1OC)OC)Cl)OC,1
NCCCCC(N)C(=O)O,0
N[C@@H](CO\C([O-])=C\[N+]#N)C(O)=O,1
O=C(N1C[C@@H]2N(CCc3c2cccc3)C(=O)C1)C1CCCCC1,1
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,1
CC(C)C1CC(=O)OCC2CCN3CCC(OC(=O)C(O)(CC(=O)OC1C)C(C)C)C23,1
CC(C)(C)NC(=O)[C@@H]1CC2CCCCC2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,1
CCCCC[C@@H](/C=C/[C@H]1[C@H](O)C[C@H]2[C@@H]1C/C(=C/CCCC(=O)O)/O2)O,1
Cl\C(\SCC(N)C(O)=O)=C/Cl,0
NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,0
CC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@@]1(C)CC(=O)[C@H]1[C@@H]2CCC2=CC(=O)CC[C@@]12C,0
CC1C=CC=CCCC=CC=CC=CC=CC(CC(C(C(CC(=O)CC(C(CCC(CC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)C(=O)O)O)OC2C(C(C(C(O2)C)O)N)O,0
OC(=O)C1NCCC1,0
CON=C(C(=O)NC1C2SCC(CSC3=NC(=O)C(=O)NN3C)=C(N2C1=O)C(O)=O)c1csc(N)n1,1
FC1(F)CCC(C(=O)N[C@@H](CCN2[C@@H]3C[C@@H](n4c(nnc4C)C(C)C)C[C@H]2CC3)c2ccccc2)CC1,1
CC1=C2CC3C(=C)CCC(OC4OC(CO)C(O)C(O)C4O)C3(C)CC2OC1=O,0
OCC1OC(OC2=C(O)C=C3C(CC(C([O-])=O)[N+]3=CC=C3CC(NC(=C3)C(O)=O)C(O)=O)=C2)C(O)C(O)C1O,0
CN(C)CC=C(c1ccc(Br)cc1)c1cccnc1,1
[H]OC1=C(C([H])=C(C([H])=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1
COC(=O)Nc1nc2ccccc2[nH]1,1
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]2[C@@H]1[C@H]1CC[C@]3([C@]1(CC2)C)CCC(=O)O3)C,1
O1C(O)(COC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1COC(=O)c1cccnc1,0
[H]C=1C([H])=C([H])C(=C(C=1([H]))N([H])C(=O)C([H])(N([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],0
Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,1
OC(=O)CCCCCCC\C=C/CCCCCCCC,0
CC=CCC(C)C(=O)C1N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C(=O)C(NC1=O)C(C)C)C(C)C,1
O/N=C(/[C@H](NCC(CN[C@@H](C)/C(=N/O)/C)(C)C)C)\C,0
N=C(N)NCCCC(N)C(=O)O,0
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](N)C[C@H]2N=C(O)C(O)CN)OC[C@]1(C)O,1
